file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/01_CTSM/components/cdeps/fox/dom/m_dom_error.f90,211,0,177,1,0,34,1,0.0056,7,17.57,1
./models/01_CTSM/components/cdeps/fox/dom/m_dom_extras.F90,2376,0,1901,0,0,475,0,0.0,63,28.19,1
./models/01_CTSM/components/cdeps/fox/dom/m_dom_parse.f90,577,0,429,37,0,114,37,0.0862,25,13.64,1
./models/01_CTSM/components/cdeps/fox/dom/m_dom_utils.f90,437,0,360,25,0,53,25,0.0694,4,83.25,1
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_getTextContent_1.f90,24,0,17,0,0,7,0,0.0,1,9.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_getTextContent_2.f90,24,0,17,0,0,7,0,0.0,1,9.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_getTextContent_3.f90,24,0,17,0,0,7,0,0.0,1,9.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_getTextContent_4.f90,24,0,17,0,0,7,0,0.0,1,9.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_getTextContent_5.f90,24,0,17,0,0,7,0,0.0,1,9.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_parseString_1.f90,24,0,17,0,0,7,0,0.0,1,9.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_serialize_1.f90,25,0,11,5,0,9,5,0.4545,1,6.0,0
./models/01_CTSM/components/cdeps/fox/dom/test/test_dom_serialize_2.f90,26,0,12,5,0,9,5,0.4167,1,6.0,0
./models/01_CTSM/components/cdeps/fox/examples/dom_canonicalize.ns.no.f90,36,0,23,5,0,8,5,0.2174,1,14.0,0
./models/01_CTSM/components/cdeps/fox/examples/dom_canonicalize.ns.yes.f90,41,0,28,5,0,8,5,0.1786,1,18.0,0
./models/01_CTSM/components/cdeps/fox/examples/dom_configuration.f90,72,0,41,24,0,7,24,0.5854,1,26.0,0
./models/01_CTSM/components/cdeps/fox/examples/dom_example_2.f90,45,0,28,9,0,8,9,0.3214,1,19.0,0
./models/01_CTSM/components/cdeps/fox/examples/dom_example_3.f90,26,0,11,7,0,8,7,0.6364,1,6.0,0
./models/01_CTSM/components/cdeps/fox/examples/dom_example_4.f90,42,0,17,16,0,9,16,0.9412,1,10.0,0
./models/01_CTSM/components/cdeps/fox/examples/sax_example.f90,298,0,221,13,0,65,13,0.0588,27,5.74,1
./models/01_CTSM/components/cdeps/fox/examples/sax_example_2.f90,135,0,87,19,0,30,19,0.2184,5,11.0,1
./models/01_CTSM/components/cdeps/fox/examples/wcml_example.f90,105,0,69,13,0,23,13,0.1884,1,49.0,0
./models/01_CTSM/components/cdeps/fox/examples/wkml_example.f90,21,0,12,2,0,7,2,0.1667,1,3.0,0
./models/01_CTSM/components/cdeps/fox/examples/wkml_example_2.f90,25,0,16,3,0,6,3,0.1875,1,7.0,0
./models/01_CTSM/components/cdeps/fox/examples/wxml_example.f90,84,0,56,8,0,20,8,0.1429,1,49.0,0
./models/01_CTSM/components/cdeps/fox/examples/xml_output_module.f90,57,0,35,0,0,22,0,0.0,3,8.0,1
