file,function,type,line,do_loops,is_recursive,cyclomatic_complexity,loc,volume,difficulty,effort,time,bugs
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_start,SUBROUTINE,131,0,False,3,13,323.1448300675329,10.695652173913043,3456.2447042005692,192.0135946778094,0.10771494335584429
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_print,SUBROUTINE,207,0,False,3,16,413.594000115385,13.25,5480.120501528851,304.45113897382504,0.1378646667051283
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_print_all,SUBROUTINE,236,1,False,3,8,160.47368752524045,5.5,882.6052813888225,49.033626743823476,0.05349122917508015
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_check,SUBROUTINE,297,0,False,3,12,247.70981551934375,9.157894736842106,2268.500415808727,126.02780087826262,0.08256993850644792
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_check_all,SUBROUTINE,324,1,False,3,10,174.22857502740393,5.5,958.2571626507216,53.236509036151205,0.05807619167580131
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_init,SUBROUTINE,65,0,False,2,14,289.98538195126935,7.5,2174.89036463452,120.82724247969557,0.09666179398375645
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_zero,SUBROUTINE,258,0,False,2,10,209.2150500951926,8.235294117647058,1722.947471372174,95.71930396512079,0.06973835003173086
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_free,SUBROUTINE,347,0,False,2,13,272.4807970712781,8.571428571428571,2335.5496891823836,129.75276051013242,0.0908269323570927
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_free_all,SUBROUTINE,373,1,False,2,7,112.58797503894243,3.269230769230769,368.0760722426964,20.4486706801498,0.03752932501298081
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_zero_all,SUBROUTINE,281,0,False,1,5,64.5293250129808,2.0,129.0586500259616,7.169925001442312,0.021509775004326936
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_sleep,SUBROUTINE,393,0,False,1,5,68.53238859703687,2.0454545454545454,140.17988576666633,7.787771431481463,0.022844129532345624
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,dummyflux,SUBROUTINE,834,14,False,26,122,5228.048580140239,64.65555555555557,338022.38542040065,18779.02141224448,1.7426828600467463
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,breadth_setDist,SUBROUTINE,1450,1,True,23,131,4883.39385334877,53.523809523809526,261377.8424363818,14520.991246465655,1.6277979511162566
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,smooth,SUBROUTINE,196,10,False,22,246,8983.529476749845,53.93354430379747,484513.5850387583,26917.421391042128,2.9945098255832816
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,smooth_init,SUBROUTINE,23,2,False,6,96,3002.6435721644016,27.576388888888893,82802.06684072806,4600.114824484892,1.0008811907214672
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,dummyweights,SUBROUTINE,1025,4,False,6,60,1936.4022527986797,21.271186440677965,41189.57334342954,2288.30963019053,0.64546741759956
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,dummy_aroff_write,SUBROUTINE,1149,3,False,6,121,4807.593879044734,37.18681318681319,178779.0954581031,9932.171969894618,1.6025312930149114
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,POP_2D_read,SUBROUTINE,1385,0,False,6,36,979.9255223796765,13.98913043478261,13708.30594894178,761.5725527189877,0.3266418407932255
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,test_smooth,SUBROUTINE,698,2,False,5,26,994.3938707262415,18.0,17899.089673072347,994.3938707262415,0.33146462357541384
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,distance,FUNCTION,645,0,False,3,12,474.17304721969464,12.0,5690.076566636336,316.11536481312976,0.15805768240656487
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,smooth_field_write,SUBROUTINE,739,0,False,3,51,1947.1582206747357,12.41025641025641,24164.732789912105,1342.485154995117,0.6490527402249119
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,POP_TAREA_compute,SUBROUTINE,1326,0,False,3,28,948.1678398821537,15.375,14578.080538188113,809.893363232673,0.31605594662738457
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,depth_setDist,SUBROUTINE,1631,0,True,3,36,1712.304206377674,43.588235294117645,74636.31864269744,4146.462146816524,0.570768068792558
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,iadd,FUNCTION,601,0,False,2,9,182.66088307807416,10.545454545454545,1926.2420397324183,107.01344665180102,0.06088696102602472
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,jadd,FUNCTION,624,0,False,2,9,157.17331799741265,7.583333333333333,1191.8976614803792,66.21653674890996,0.05239110599913755
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/smooth_mod.F90,falloff,FUNCTION,674,0,False,1,7,202.04660144782298,4.470588235294118,903.2671594137969,50.18150885632205,0.06734886714927432
./models/01_CTSM/cime/tools/mapping/map_field/src/map_field.F90,map_field,SUBROUTINE,111,3,False,17,188,5747.394163122201,50.75,291680.2537784517,16204.458543247318,1.915798054374067
./models/01_CTSM/cime/tools/mapping/map_field/src/map_field.F90,fmain,PROGRAM,1,1,False,12,59,1136.3614770553834,42.78260869565217,48616.50840967379,2700.917133870766,0.3787871590184611
./models/01_CTSM/cime/tools/mapping/map_field/src/map_field.F90,write_file,SUBROUTINE,408,0,False,5,80,2653.476762151245,30.761904761904766,81625.99944522402,4534.77774695689,0.884492254050415
./models/01_CTSM/cime/tools/mapping/map_field/src/map_field.F90,sys_getenv,SUBROUTINE,523,0,False,3,21,587.7625990828849,12.1875,7163.35667632266,397.96425979570336,0.19592086636096162
./models/01_CTSM/cime/tools/mapping/map_field/src/map_field.F90,check_ret,SUBROUTINE,363,0,False,2,8,114.6940428629768,5.25,602.1437250306282,33.45242916836823,0.03823134762099227
./models/01_CTSM/cime/tools/mapping/map_field/src/map_field.F90,usage_exit,SUBROUTINE,375,0,False,2,30,360.0,17.5,6300.0,350.0,0.12
./models/01_CTSM/components/cdeps/datm/atm_comp_nuopc.F90,datm_comp_run,SUBROUTINE,575,0,False,46,186,6266.779894369868,45.33333333333333,284094.02187810064,15783.001215450036,2.088926631456623
./models/01_CTSM/components/cdeps/datm/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,197,0,False,43,141,5456.232900176935,46.612149532710276,254326.74382834075,14129.26354601893,1.8187443000589782
